train,validation
0.3817134043201804,0.21113212406635284
0.03076638826834304,0.12308093905448914
0.012286175541313631,0.08058994263410568
0.008193615574522741,0.08193086832761765
0.00662108906544745,0.07922246307134628
0.005764082722764995,0.07855544984340668
0.005421058125128704,0.07178137451410294
0.005298308387864381,0.09711237251758575
0.005273967864923179,0.0769985169172287
0.00519350846298039,0.07843329757452011
0.00482060486683622,0.08226413279771805
0.004807316506880203,0.09801271557807922
0.004621055875239628,0.0962202250957489
0.004614979178378624,0.0779019221663475
0.004255401511077902,0.07714130729436874
0.032437667732925286,0.07885564118623734
0.007507554055856807,0.10396134108304977
0.0053478061121755415,0.09025866538286209
0.00475910138837727,0.08765392005443573
0.004254125948396644,0.08862299472093582
0.026515468672317053,0.12575200200080872
0.005478155408387205,0.08704431354999542
0.004250005353242159,0.07505514472723007
0.00415790975759072,0.0878230631351471
0.004203572586577918,0.08351071923971176
0.04475146206898679,0.13867813348770142
0.007060502744119229,0.12944747507572174
0.0054478847084502725,0.10123346745967865
0.004945134085699402,0.08971279859542847
0.005300386343151331,0.07752378284931183
0.02947289164274417,0.14668230712413788
0.008762804630758434,0.12103385478258133
0.00589486612970459,0.12934572994709015
0.006897878343367885,0.13532158732414246
0.004698567622309101,0.12742845714092255
0.032719292814425864,0.11453834176063538
0.00588797855768995,0.12226554751396179
0.004170357113190252,0.12488766014575958
0.0041428212044310984,0.12961708009243011
0.004366430614528985,0.1266295164823532
0.024130028447714346,0.13681046664714813
0.005653257116450575,0.1327887624502182
0.004318496380964744,0.12950195372104645
0.004304317588885796,0.1311340630054474
0.004025228289437705,0.14098846912384033
0.02084396998009955,0.17334195971488953
0.007451147151490052,0.1716098040342331
0.00644097700896964,0.13041086494922638
0.005392689801131685,0.12896890938282013
0.006992661828796069,0.48004594445228577
0.021859094407409428,0.19476819038391113
0.007607873800831537,0.251848965883255
0.008034496211136381,0.1792987883090973
0.006958129978738725,0.1830304116010666
0.0052710123515377445,0.1962614506483078
0.02379604020000746,0.1865237057209015
0.006585312929625313,0.18257571756839752
0.005489811534062028,0.17905674874782562
0.006077459431253374,0.18301379680633545
0.007158995450784762,0.22424942255020142
0.025563370110467075,0.15963080525398254
0.008324150927364826,0.14186333119869232
0.00827624051210781,0.11107631772756577
0.006713312204616765,0.10155463218688965
0.007008005981333554,0.09739227592945099
0.024987839426224432,0.10369370132684708
0.007002991049860915,0.09276662021875381
0.005522691978452106,0.08581019192934036
0.0073716702482973535,0.09673696011304855
0.006439772054242591,0.08357107639312744
