model,final_value,pnl
cheater,46475.208101436525,36475.208101436525
chronos_t5_large,14648.848980342373,4648.848980342373
sarimax,13134.136207678483,3134.1362076784826
chronos_t5_base,13017.126493752896,3017.126493752896
sarima,12549.10424469995,2549.104244699951
chronos_original,12549.10424469995,2549.104244699951
chronos_bolt_base,11701.497196187338,1701.497196187338
chronos_bolt,11352.29727015739,1352.2972701573908
patchtst,11207.402106029627,1207.4021060296272
naive,10000.0,0.0
xgboost,10000.0,0.0
tft,9958.787317638353,-41.21268236164724
xgboost_diff,9933.636810186892,-66.36318981310797
moving_average,8746.513414837915,-1253.4865851620852
